Train_Size,Train_Score_Mean,Train_Score_Std,Validation_Score_Mean,Validation_Score_Std,Gap
6,1.0,0.0,0.4933333333333333,0.1436043948569201,0.5066666666666667
12,1.0,0.0,0.5599999999999999,0.13727506854649332,0.44000000000000006
18,1.0,0.0,0.5466666666666666,0.12927146286443544,0.45333333333333337
24,1.0,0.0,0.5199999999999999,0.08844332774281063,0.4800000000000001
30,1.0,0.0,0.6533333333333333,0.09797958971132709,0.3466666666666667
36,1.0,0.0,0.6933333333333334,0.0997775303139718,0.30666666666666664
42,1.0,0.0,0.7066666666666666,0.0997775303139718,0.29333333333333345
48,1.0,0.0,0.7466666666666667,0.18571184369578825,0.2533333333333333
54,1.0,0.0,0.7866666666666666,0.1359738536958076,0.21333333333333337
60,1.0,0.0,0.8266666666666665,0.05333333333333336,0.17333333333333345
