Rank,Reduction_Method,Reduction_Description,Model,Model_Class,N_Components,Accuracy_Mean,Accuracy_Std,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,ROC_AUC,CV1,CV2,CV3,CV4,CV5
1,selectfrommodel_rf_10,SelectFromModel-RF-10,CatBoost_tuned,CatBoostClassifier,10,0.88,0.0267,0.86,0.8775,0.8842,0.85,0.88,0.8667,0.8667,0.8667,0.9333,0.8667
2,selectfrommodel_xgb_5,SelectFromModel-XGB-5,HistGB_tuned,HistGradientBoostingClassifier,5,0.8533,0.0777,0.8322,0.8519,0.8411,0.83,0.826,0.8,0.7333,0.8667,0.9333,0.9333
3,selectfrommodel_xgb_10,SelectFromModel-XGB-10,HistGB_tuned,HistGradientBoostingClassifier,10,0.8533,0.0777,0.8322,0.8519,0.8411,0.83,0.826,0.8,0.7333,0.8667,0.9333,0.9333
4,selectfrommodel_xgb_10,SelectFromModel-XGB-10,HistGB_default,HistGradientBoostingClassifier,10,0.84,0.068,0.8165,0.8383,0.8277,0.81,0.846,0.8,0.7333,0.8667,0.8667,0.9333
5,selectfrommodel_xgb_5,SelectFromModel-XGB-5,HistGB_default,HistGradientBoostingClassifier,5,0.84,0.068,0.8165,0.8383,0.8277,0.81,0.846,0.8,0.7333,0.8667,0.8667,0.9333
6,selectfrommodel_rf_10,SelectFromModel-RF-10,KNN_weighted,KNeighborsClassifier,10,0.8267,0.0904,0.8022,0.8252,0.8111,0.8,0.802,0.8,0.7333,0.9333,0.7333,0.9333
7,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,KNN_5,KNeighborsClassifier,10,0.8267,0.0327,0.7911,0.8189,0.832,0.79,0.81,0.8,0.8,0.8667,0.8667,0.8
8,selectfrommodel_rf_5,SelectFromModel-RF-5,RF_default,RandomForestClassifier,5,0.8267,0.0533,0.8027,0.8248,0.8248,0.8,0.82,0.8667,0.8,0.8667,0.7333,0.8667
9,pca_10,PCA-10,SVM_rbf,SVC,10,0.8133,0.1293,0.7548,0.7939,0.8192,0.76,0.888,0.7333,0.6667,0.9333,1.0,0.7333
10,pca_5,PCA-5,KNN_7,KNeighborsClassifier,5,0.8133,0.0777,0.7929,0.8126,0.8133,0.8,0.882,0.8,0.7333,0.8667,0.7333,0.9333
11,selectkbest_f_classif_10,SelectKBest-f_classif-10,RF_extratrees,ExtraTreesClassifier,10,0.8133,0.0499,0.7851,0.8102,0.8116,0.78,0.87,0.8,0.8,0.8667,0.7333,0.8667
12,selectfrommodel_xgb_10,SelectFromModel-XGB-10,QDA_reg,QuadraticDiscriminantAnalysis,10,0.8133,0.0653,0.7732,0.8032,0.8212,0.78,0.856,0.7333,0.8,0.9333,0.8,0.8
13,selectfrommodel_xgb_10,SelectFromModel-XGB-10,XGB_default,XGBClassifier,10,0.8133,0.1147,0.7839,0.8102,0.8035,0.78,0.832,0.6,0.8667,0.9333,0.8,0.8667
14,selectkbest_f_classif_10,SelectKBest-f_classif-10,SVM_rbf_tuned,SVC,10,0.8133,0.0653,0.7813,0.8091,0.8014,0.77,0.848,0.8,0.7333,0.9333,0.8,0.8
15,selectkbest_f_classif_10,SelectKBest-f_classif-10,KNN_5,KNeighborsClassifier,10,0.8133,0.0777,0.7673,0.8007,0.8008,0.77,0.874,0.8,0.6667,0.8667,0.8667,0.8667
16,selectkbest_f_classif_10,SelectKBest-f_classif-10,KNN_7,KNeighborsClassifier,10,0.8133,0.098,0.7602,0.7973,0.7976,0.76,0.896,0.7333,0.6667,0.8667,0.9333,0.8667
17,selectkbest_f_classif_10,SelectKBest-f_classif-10,KNN_weighted,KNeighborsClassifier,10,0.8133,0.0499,0.777,0.8065,0.8074,0.77,0.852,0.8,0.7333,0.8667,0.8,0.8667
18,selectfrommodel_xgb_5,SelectFromModel-XGB-5,QDA_reg,QuadraticDiscriminantAnalysis,5,0.8133,0.0653,0.7732,0.8032,0.8212,0.78,0.856,0.7333,0.8,0.9333,0.8,0.8
19,selectfrommodel_xgb_5,SelectFromModel-XGB-5,XGB_default,XGBClassifier,5,0.8133,0.1147,0.7839,0.8102,0.8035,0.78,0.832,0.6,0.8667,0.9333,0.8,0.8667
20,selectfrommodel_rf_10,SelectFromModel-RF-10,KNN_5,KNeighborsClassifier,10,0.8133,0.098,0.7734,0.8047,0.7976,0.77,0.8,0.7333,0.7333,0.9333,0.7333,0.9333
21,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,HistGB_default,HistGradientBoostingClassifier,10,0.8133,0.0267,0.7712,0.8036,0.8174,0.76,0.796,0.8,0.8,0.8667,0.8,0.8
22,selectfrommodel_rf_10,SelectFromModel-RF-10,KNN_3,KNeighborsClassifier,10,0.8,0.0843,0.7719,0.7975,0.7796,0.78,0.848,0.7333,0.7333,0.9333,0.7333,0.8667
23,selectfrommodel_rf_10,SelectFromModel-RF-10,CatBoost_default,CatBoostClassifier,10,0.8,0.0843,0.7446,0.7837,0.7842,0.74,0.872,0.7333,0.6667,0.8667,0.8667,0.8667
24,selectfrommodel_xgb_5,SelectFromModel-XGB-5,QDA_default,QuadraticDiscriminantAnalysis,5,0.8,0.073,0.7458,0.7825,0.8157,0.76,0.828,0.7333,0.8,0.9333,0.8,0.7333
25,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,XGB_tuned,XGBClassifier,10,0.8,0.1398,0.7628,0.7939,0.7821,0.76,0.836,0.5333,0.8667,0.9333,0.8,0.8667
26,selectfrommodel_xgb_5,SelectFromModel-XGB-5,KNN_7,KNeighborsClassifier,5,0.8,0.0596,0.7605,0.7917,0.783,0.77,0.778,0.7333,0.8,0.8667,0.8667,0.7333
27,selectfrommodel_xgb_5,SelectFromModel-XGB-5,LGBM_default,LGBMClassifier,5,0.8,0.1193,0.7366,0.7781,0.741,0.75,0.876,0.6,0.7333,0.8667,0.9333,0.8667
28,selectfrommodel_rf_10,SelectFromModel-RF-10,XGB_tuned,XGBClassifier,10,0.8,0.073,0.7735,0.7987,0.7935,0.77,0.84,0.8667,0.8,0.8,0.6667,0.8667
29,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,HistGB_tuned,HistGradientBoostingClassifier,10,0.8,0.073,0.7647,0.794,0.8015,0.76,0.792,0.6667,0.8,0.8667,0.8667,0.8
30,selectkbest_f_classif_10,SelectKBest-f_classif-10,CatBoost_default,CatBoostClassifier,10,0.8,0.0843,0.7446,0.7837,0.7842,0.74,0.86,0.7333,0.6667,0.8667,0.8667,0.8667
31,selectkbest_f_classif_10,SelectKBest-f_classif-10,SVM_rbf,SVC,10,0.8,0.0943,0.7384,0.7801,0.7912,0.74,0.872,0.7333,0.6667,0.9333,0.8667,0.8
32,selectfrommodel_xgb_10,SelectFromModel-XGB-10,QDA_default,QuadraticDiscriminantAnalysis,10,0.8,0.073,0.7458,0.7825,0.8157,0.76,0.828,0.7333,0.8,0.9333,0.8,0.7333
33,selectfrommodel_xgb_10,SelectFromModel-XGB-10,LGBM_default,LGBMClassifier,10,0.8,0.1193,0.7366,0.7781,0.741,0.75,0.876,0.6,0.7333,0.8667,0.9333,0.8667
34,selectfrommodel_xgb_10,SelectFromModel-XGB-10,KNN_7,KNeighborsClassifier,10,0.8,0.0596,0.7605,0.7917,0.783,0.77,0.778,0.7333,0.8,0.8667,0.8667,0.7333
35,none,No Reduction,XGB_tuned,XGBClassifier,14,0.8,0.0596,0.7773,0.8001,0.7935,0.78,0.856,0.7333,0.8,0.8667,0.7333,0.8667
